,,,,Gap Size (mm),,,,,,,,,,,,,,,
Geometry ,Speed (mm/s),Flowrate (Hz),Sample,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Bridge,100,31,1,3.0681,5.4781,5.561,6.1473,6.0165,8.2901,9.1682,10.2674,11.6728,13.4881,14.6718,14.7226,15.7415,16.0267,16.1442,17.3572
Bridge,100,35,1,3.0452,5.5629,5.5735,6.2406,6.0594,8.2366,9.0787,10.2251,11.626,13.4201,14.583,F,F,F,F,F
Bridge,100,35,2,2.9949,5.4179,5.4854,6.17,6.0215,8.2163,9.2657,10.1062,11.6053,13.4949,14.8191,F,F,F,F,F
Bridge,100,35,3,3.3084,5.3432,5.3807,6.3625,5.794,8.3503,9.219,10.3829,11.7816,13.3394,F,F,F,F,F,F
Bridge,100,39,1,3.8295,6.1838,6.344,6.8601,6.7684,9.0694,9.9044,11.0021,12.4305,14.2322,F,F,F,F,F,F
Bridge,125,31,1,0.9017,1.4284,1.8116,1.9937,2.4684,2.9655,3.4195,4.0332,4.5492,5.0987,5.5014,6.0308,6.5026,6.9251,7.4782,8.0061
Bridge,125,39,1,0.0932,0.2449,0.5236,0.696,0.8481,1.5356,2.5449,3.5042,4.5174,5.5051,6.599,7.4028,8.5917,9.4054,10.5173,11.4573
